tracks	play-repeated	heart	comment
Ebiet G Ade - Titip Rindu Buat Ayah	5,037,455	64,626	951
Earl Sweatshirt - Dat Ass	3,690,004	60,157	320
East 1999 - Bone Thugs-N-Harmony	2,270,854	31,120	327
Edward Maya - This Is My Life (Official Music Video) [HD]	2,444,452	41,665	281
Ezio's Family	2,431,231	32,242	1,103
Eminem - Business (Matoma Remix)	2,291,093	29,835	215
Escapate- Luis Coronel [SiiinglE 2013]	2,625,958	20,304	370
Electro Swing Compilation	1,844,312	34,194	1,043
Eminem - Forever (feat Drake, Kanye West and Lil Wayne; A-ClasSic remix)	2,317,310	28,945	285
EXO-K – Wolf (EXO-K Ver.)	1,546,122	27,866	256
Enigma - Sadeness	1,605,750	26,268	581
Eileen	3,356,762	34,410	376
Enya - Only Time - (Violin Cover)	1,968,688	29,484	285
Ek tera pyar	3,741,525	74,567	491
Elektronomia - Sky High [NCS Release]	4,170,152	53,464	1,170
Ed Sheeran & Sia - Shape of You / The Greatest / Cheap Thrills	6,213,124	95,856	1,077
Elvis Presley - Jail House Rock	2,864,505	40,582	536
El Americano - Omar Ruiz	5,675,627	45,812	158
Everytime	4,782,042	67,048	671
Evanescence - Lithium	3,229,131	47,792	470
Ester Dean - Drop it Low (CAKED UP Remix) [Play Me Free]	3,015,137	38,860	969
EXO - Monster & Artificial Love & Cloud 9	3,994,813	59,283	790
Ellie Goulding - Your Song (Blackmill Dubstep Remix)	5,066,687	55,364	1,826
El Chivo (feat. T3r Elemento)	6,866,375	73,326	2,031
Eyad Tannous - Enta Zaalan Meni   اياد طنوس - انت زعلان مني	8,920,467	224,238	2,157
El Far El Sondo2  حماده هلال الفار السندق	3,647,100	102,418	990
Every Time We Touch - Cascada	3,597,646	49,007	588
Ellie Goulding - Love Me Like You Do (Fifty Shades Of Grey) (Cover by: Monique)	5,303,694	50,488	453
Eric Bellinger - Or Nah ft. Marcus Moody	4,240,153	61,443	544
El Naharda Seheet Men El Noom - النهارده صحيت من النوم	6,203,496	163,596	789
Everybody's Circulation	3,555,766	56,468	2,977
em là bad girl trong bộ váy ngắn - niz ( prod.Soulker )	7,255,358	53,927	862
Eric Bellinger ft Jhene Aiko - Ex Again (www.hiphopcafeexclusive.com)	2,447,967	37,545	100
Eminem Im Not Afraid New Song 2010	2,479,911	33,835	411
Eminem & Nate Dogg - Shake That (Daniel Healeys' 'Minimal' Mix)	2,014,225	31,102	124
ENYA - ENIGMA - LISA GERRARD (COLLECTION)	1,261,769	20,097	427
Eric Bellinger - iPod On Shuffle (Prod. by Ayo)	2,588,462	39,099	80
El Amor	2,154,214	20,022	222
EU QUERO QUE TU VÁ, VAI TOMAR NO CÚ, PARA DE TOMAR CONTA DA MINHA VIDA KKK 🎶 [ LANÇAMENTO 2018 ]	2,966,407	55,391	269
Espinoza paz - el proximo viernes	2,881,782	20,999	227
Ehna Chauni Aa jassi gill	3,366,694	70,071	671
EE LAA - Flipperachi & Daffy اي لا - فلبراتشي و دافي	2,133,480	40,211	83
Enya & Yanni  - For The Love Of A Princess	1,504,416	21,357	260
El Da9t - الضغط	2,181,024	38,824	900
É Com Ela Que Eu Estou - Cristiano Araujo	2,894,831	26,573	86
Et7ad El-Kama - Men Fena - 2014 _ مهرجان اتحاد القمة - مين فينا  - نسخة اصلية	2,325,052	48,889	236
Eres Tu- Carla Morrison	2,363,163	21,820	150
En La Intimidad - Ozuna (Audio Official)	3,216,936	32,666	56
Ezhel - Şehrimin Tadı	3,661,776	17,050	150
Every Breath You Take	1,487,159	19,038	206
Endor - Freaky Secret	2,176,522	34,381	33
Eminem - Crazy In Love	2,151,539	23,155	142
Evanescence - Bring Me To Life (Original Song)	3,871,629	59,203	653
Esha Ft. Pope - Lets Be Together (#jointhefaith 1:4)	5,421,097	62,298	696
Elissa - Ah Mn Hawak - اليسا - اه من هواك	5,501,413	129,251	642
Eu sei de cor - Marília Mendonça	3,070,725	52,029	84
Exotic - Summer Edition	1,745,809	46,043	498
Else - Paris	4,277,032	83,149	1,626
Endah n rhesa - liburan indie	6,056,662	63,162	637
Esctasy- In My Feelings (Ann Marie)	3,487,155	44,039	166
EL ALFA FT MOZART LA PARA FT LA KIKADA - LOS PATRONES	5,216,437	72,805	226
Everytime We Touch	3,295,496	41,951	172
Eric Bellinger - The 1st Lady	4,559,747	69,769	378
Eazy E - Gangsta Beat 4 Tha Street (Ft 2Pac Biggie Smalls The Game, Ice Cube)	3,821,245	49,652	435
Ellie Goulding, Diplo, Swae Lee - Close To Me (Job Remix)	4,310,366	52,243	661
EVERGLOW - Bon Bon Chocolat	3,245,524	50,548	1,125
El Alfa El Jefe X CJ X El Cherry Scom  La Mamá De La Mamá	4,850,619	82,668	1,327
EGOVERT - HEY! ft. KIL (Prod. Morteh) [MUSIC VIDEO IN DESC.]	5,771,457	70,867	2,693
El De La Guitarra - El Solecito	5,253,382	46,717	390
Essential Mix - BBC Radio 1	2,496,342	66,477	2,074
Earl ft Lil YACHTY BIGBRUTHACHUBBA JBAN$2TURNT (Prod.Earl)	5,721,304	96,659	391
Everything Has Changed - Taylor Swift ft. Ed Sheeran Cover	3,060,852	26,371	284
Esquema Louco	5,606,332	96,437	224
Eminem - Forget About Dre (remix) - w. Method Man, Dr. Dre, Nas, Ice Cube, DMX, ODB, Redman, LLCoolJ	3,095,315	39,949	324
Ekhtrna El Bo3d_ حمادة هلال & شاهيناز ضياء _اخترنا البعد	3,804,936	136,983	319
Essam Kamal / عصام كمال - قال أبمشي	3,959,473	57,935	1,778
EURO GOTIT - POSSE FT LIL BABY (DIRTY MASTERED)	6,445,953	81,455	259
Eso Y Mas	3,932,309	33,717	170
E 40 - My Shit Bang	3,360,148	44,298	243
Especial Acústico 1Kilo - Morena / Leao Guerreiro Pablo Martins Md Gabra CT Funkero Mz	4,471,864	74,369	116
Enrique Iglesias Feat. Pitbull - I'm a Freak	4,206,154	35,098	278
El Karma-Ariel Camacho & Los Plebes Del Rancho	5,840,860	30,376	189
El Komander - Abusamos Del Alcohol (2012) (Belico)	5,834,841	24,902	250
Edward Maya & Devas - Love in Stereo feat Vika Jigulina ( Violin Version)	2,749,074	43,766	1,234
eli filosov [ p h i l o ] - oneofone_rwrk	3,878,937	49,574	705
e[u].logy (prod. purpan)	3,770,254	47,859	716
El Far3i - Tghayarti (single) | الفرعي - تغيّرتي	5,786,633	122,636	695
eyedress - jealous (slowed)	3,839,582	65,781	2,413
EL ALFA - SUAVE	4,334,201	62,421	196
El komander-cuernito armani	5,246,573	24,004	285
Everything Is Yours	3,388,648	50,497	177
Ella Y Yo- Don Omar Ft Aventura Extended Remix - [Old Shool] - [Dj Nelson] 2014 (Intro Sencillo)	4,669,043	46,725	215
El Joker - Azmet Mogtama3 L الجوكر - أزمة مجتمع	3,582,441	98,795	326
EL ALFA - SIENTATE EN ESE DEO	4,660,107	66,814	332
Ek Villan Galiyan ♫Galiyan♫	2,133,283	51,578	575
El Perdon Niki Jan Bs Enrique Iglesias	4,452,010	26,553	100
Eklo Ft. Jordin Laine - Feel So High (Pegato Remix) Out on Spotify	3,807,249	47,051	427
Everyday Normal Guy 2	3,410,339	68,197	726
E40 & Too Short ft. Tyga – Slide Through    my new site https://soundcloud.com/therealdrunkenmonkeyz	3,052,940	34,589	288
Eric Clapton & Tracy Chapman - Give Me One Reason	1,985,596	27,791	388
Elvis Crespo - Tatuaje	3,492,896	32,205	105
fucc it up. [Prod. By Ice Starr]	17,625,295	238,175	2,511
Fetty Wap - DAM (Dats All Me)	25,350,081	336,570	1,593
Farruko ❌ Bad Bunny - Krippy Kush	31,328,244	383,871	1,571
Feel Good Inc.	25,716,137	372,551	7,658
French Montana - Unforgettable Feat. Swae Lee ( NO MERCY BOOTLEG )	27,086,116	331,840	3,450
Falsas Mentiras (feat. Ozuna)	28,772,579	301,341	792
Fairytale - Rod Da God	24,781,172	305,678	1,519
Flo Rida - My House (Wolf Rework)	16,421,285	177,111	3,152
Flo Rida - My House	20,336,422	213,717	3,154
Frank Sinatra - Fly Me To The Moon	15,789,873	354,025	3,744
Florida Georgia Line "Cruise" NO NELLY	7,697,721	115,696	1,818
Future- No Matter What	15,181,278	223,734	1,621
Festival Mix	612,774	6,447	293
Florida Georgia Line - Stay (Black Stone Cherry Cover)	11,631,759	106,455	1,489
fast [prod. SuecoTheChild & KenzDean]	23,794,465	310,629	5,496
Fourtwnty - Zona Nyaman OST. Filosofi Kopi 2 (Original Audio)	18,788,207	234,734	1,925
Fix You - Coldplay -  Boyce Avenue	15,069,349	166,559	1,489
Fana Merah Jambu	18,583,084	227,505	1,930
Futuristic - The Greatest	15,169,004	176,694	1,696
French Montana Ft. Wiz Khalifa, Lil Wayne & T.I. - Ain't Worried About Nothin	8,289,784	110,139	606
Future - Fo Real (Feat. Drake)	9,054,542	120,575	614
Frank Ocean - Nights	10,734,334	162,206	1,225
Ferrugem - Tentei Ser Incrivel	7,479,570	172,069	269
Fairouz KefaK Enta - فيروز كيفك انت	9,453,754	295,809	1,857
Fort Minor- Remember the name	7,684,869	90,383	912
Freaks ~ surf curse	6,551,805	130,755	6,296
Flo Rida feat. Sia - Wild Ones	8,298,100	90,240	555
Falling In Reverse - I'm Not A Vampire	5,760,717	80,091	2,300
FIERSA BESARI - Celengan Rindu (versi album TEMPAT AKU PULANG)	11,635,074	147,072	2,897
Future - Stick Talk	9,480,498	106,604	310
Feyroz_فيروز- سلملي عليه	6,904,312	188,630	1,320
Freestyle Hip Hop {Rap} Instrumental	6,755,905	88,527	1,884
Frank Ocean - Ivy	6,686,933	108,139	772
Fe hetta tanya _ في حته تانيه	13,487,602	310,510	1,174
Future - Chosen One ft. Rocko (FBG- The Movie) Freeband Gang - Chosen One The Movie	7,677,473	102,932	712
Felipe Ret - Nós Só Precisamos de Nós -Numa Margem Distante	8,957,792	166,370	567
Foster The People - Pumped Up Kicks (Bridge  Law Remix)	5,847,982	91,783	1,638
Fall Away	5,557,154	66,506	941
Forever Young - One Direction	4,673,907	57,386	764
Fernandinho - Galileu	4,490,323	88,559	684
FNAF 4 (Break My Mind) -DAgames	6,358,567	74,712	5,617
Farruko - Hola Beba	6,759,241	66,404	610
Fabolous - Diced Pineapples (feat. Trey Songz & Cassie)	5,620,606	82,305	309
Feed The Streets (prod. DEQUEXATRON X000 Bobby Raps & DJ Tiiiiiiiiiip)	10,042,251	128,454	1,089
FNAF SISTER LOCATION Song by JT Machinima - "Join Us For A Bite"	6,486,083	74,744	6,910
From Eden | Hozier	5,970,662	75,975	255
frank ocean - in my room (slowed + reverb by slater)	5,957,518	108,381	2,066
Foster The People - Pumped Up Kicks (Bridge And Law Remix)- Trap God	4,469,314	77,368	1,893
Flo Rida - Right Round	5,564,795	55,463	755
Fool Wit It Freestyle (Ft Chance The Rapper)	6,282,622	121,110	563
Familia Mada part. Cacife Clandestino - Sol ( Prod. Ceah )	6,035,836	75,600	336
Flakee Feat Allison- Key To Your Heart FREE DOWNLOAD LINK IN DESCRIPTION	267,460	2,368	272
Flux Pavilion - I Can't Stop (Ekali Tribute)	5,153,057	121,297	1,062
Filipe Ret - Réus (prod. Shadow e Dhigo)	7,535,765	116,675	610
Fiersa Besari - Celengan Rindu (cover by Feby Putri NC)	8,870,358	124,791	3,048
Faz Tempo - Henrique e Juliano { DVD 2014}	5,597,855	52,481	78
Forever (Drake)	4,460,802	51,617	546
Feel to Cry, Smile & touched - Mash UP Unplugged - SAURAV SHARMAA - 2017 Top Songs	3,981,022	64,819	268
Formation - Beyoncè ft. Glamour(Formation Cover) by DiggyBreezy	3,756,228	50,819	392
Fairouz KefaK Enta - فيروز كيفك انت	9,453,858	295,810	1,857
Fed Up Remix	9,130,975	137,584	554
Falling For U (feat. mxmtoon)	8,133,554	129,641	3,202
Fort Minor- Remember the name	7,684,887	90,383	912
Faithless - Insomnia (Calippo Remix)	7,374,329	138,825	10,392
Flash Light-Jessie J.mp3	5,564,023	78,937	377
Free Rap Beat 2020 - "Kush" Weed Smoking Type Instrumental Freestyle Hip Hop Rap Beat Free	8,190,546	120,014	1,828
Filipe Ret - Neurótico de Guerra (prod. Mãoli)	10,588,998	171,890	1,253
Feels (Prod. Wolftyla)	8,538,920	149,651	1,049
Freaks ~ surf curse	6,552,021	130,756	6,296
Flo Rida feat. Sia - Wild Ones	8,298,109	90,241	555
Falling In Reverse - I'm Not A Vampire	5,760,733	80,091	2,300
FIERSA BESARI - Celengan Rindu (versi album TEMPAT AKU PULANG)	11,635,094	147,072	2,897
Future - Stick Talk	9,480,500	106,604	310
Feyroz_فيروز- سلملي عليه	6,904,370	188,632	1,320
Five Nights at Freddy's Song - The Living Tombstone	6,893,744	82,507	5,809
French Montana - LockJaw (Remix) Ft. Gucci Mane & Kodak Black	9,011,653	125,963	452
Futuristic - King Speech	8,066,858	96,360	910
Foals - Late Night (Solomun Remix)	6,125,517	134,662	1,043
Ferrugem - Você e Eu	7,016,129	172,087	353
Flavours #1(Hyphy Pregame)[IG: @dyln_]	4,860,847	96,496	244
FRIENDS Marshmello	10,960,425	166,515	1,766
Family ft. Vic Mensa and Sulaiman (Prod. by The Blended Babies)	8,867,327	110,031	293
Freestyle Hip Hop {Rap} Instrumental	6,755,921	88,527	1,884
Frank Ocean - Ivy	6,686,944	108,139	772
FERRUGEM - MEU BEM	6,854,258	138,569	221
F2020 (Original Song: Avenue Beat)	2,239,805	91,000	12,625
Felipe Ret - Invicto	10,106,977	176,346	503
Fe hetta tanya _ في حته تانيه	13,487,753	310,513	1,174
Future - Chosen One ft. Rocko (FBG- The Movie) Freeband Gang - Chosen One The Movie	7,677,487	102,932	712
Ferrugem - Paciência (Ao Vivo Na Rádio Mania)	6,808,562	147,015	245
Fuck The World (Summer In London)	7,524,827	122,892	1,128
Felipe Ret - Nós Só Precisamos de Nós -Numa Margem Distante	8,957,919	166,371	567
frank ocean - chanel (nick leon atmosphere edit)	8,277,592	120,398	1,548
Foster The People - Pumped Up Kicks (Bridge  Law Remix)	5,847,993	91,783	1,638
Fisher - Stop It (Original Mix)	5,364,526	112,693	589
FLOWERS IN THE POURIN' RAIN	3,450,018	47,309	113
Far Away - Nickelback (Guitar Cover)	3,144,398	25,395	251
FloRida feat Kesha - You Spin My Head Right Round	3,947,333	38,064	517
Filipe Ret - A Libertina (Audio Oficial)	6,336,921	108,421	231
Ferrugem - Som Do Tambor	3,397,640	71,924	75
Freestyle Hip Hop Instrumental (J Cole Type Beat) - "Purple Clouds" - Rap Beats, Trap Instrumentals	3,251,973	53,013	884
Filipe Ret - Louco pra voltar (Áudio Oficial)	6,646,556	120,191	469
French Montana - Gifted (Feat. The Weeknd)	3,841,733	52,962	250
Fall Out Boy - Dance Dance	3,651,089	31,672	388
Frank Ocean - Strawberry Swing	2,070,260	56,709	395
FREDDY MOREIRA - MIXTAPE 7 (The Sunny Escape)	2,025,156	27,707	6,445
Frank Ocean - Self Control	3,264,530	55,421	364
Fabolous - We Good Ft. Rich Homie Quan. The Young OG Project	3,827,301	49,988	151
Future⭐Kno The Meaning (Lyrics)	5,077,237	63,649	157
Flights - Jack and Jack	2,042,184	25,566	314
Fuse ODG Ft. Angel - T.I.N.A (Radio Edit)	3,545,522	40,814	227
Fluorescent Adolescent - Arctic Monkeys	3,252,496	34,630	217
Fifth Harmony - Red	2,697,907	36,748	376
Fast and Furious 5 (Fast Five REMIX) - Don Omar - How We Roll (01 soundtrack).mp3	4,101,542	39,870	289
Ferrugem - Ensaboado	2,709,313	55,454	31
Frank Sinatra - Killing Me Softly	4,707,798	110,974	1,407
From Eden | Hozier	5,970,674	75,975	255
frank ocean - in my room (slowed + reverb by slater)	5,957,590	108,383	2,066
Ferrugem - Quer Ser Minha Namorada (Prévia) 2016	4,884,581	118,052	198
Foster The People - Pumped Up Kicks (Bridge And Law Remix)- Trap God	4,469,350	77,368	1,893
FamousToMost - #WHIP	4,482,541	57,800	885
Fortnite - Murda Beatz ft. Yung Bans, Ski Mask the Slump God & Lil Yachty	9,144,104	164,154	4,611
Five Nights At Freddy's Song- It's Me by TryHardNinja	5,076,823	63,678	4,946
Flo Rida - Right Round	5,564,849	55,463	755
Foreva (feat. T.I.)	8,340,214	111,534	243
Fool - cavetown	4,453,486	65,794	1,732
Ft. Big Sean - "Do It Again" (prod. by Key Wane) VIDEO in description	5,643,492	94,943	385
Fantasy	7,028,985	107,738	1,902
Fool Wit It Freestyle (Ft Chance The Rapper)	6,282,638	121,110	563
Familia Mada part. Cacife Clandestino - Sol ( Prod. Ceah )	6,035,858	75,601	336
Felix Irwan Cover Full Album  Pilihan Terbaik + Enak Didengar Setiap Waktu	7,957,514	116,605	3,318
Flakee Feat Allison- Key To Your Heart FREE DOWNLOAD LINK IN DESCRIPTION	267,461	2,368	272
Flux Pavilion - I Can't Stop (Ekali Tribute)	5,153,114	121,299	1,062
Falling In Reverse- Fashionably Late	3,724,814	50,765	1,179
FatherStretch my hands	6,099,631	78,491	287
Fiji - Lonely Days feat. J Boog	4,772,070	59,693	1,122
Filipe Ret - Réus (prod. Shadow e Dhigo)	7,535,840	116,676	610
Far Alone X In Your Life (Alex Bamford Edit)	5,374,004	80,858	210
French Montana - Fuck What Happens Tonight (Ft. Mavado, Ace Hood, Snoop Dogg & Scarface) [CDQ]	5,821,985	66,842	852
FILV - BALENCIAGA	10,630,692	157,286	1,331
Fiersa Besari - Celengan Rindu (cover by Feby Putri NC)	8,870,393	124,792	3,048
Frank Ocean - 'American Wedding'	5,051,653	98,375	803
Faz Tempo - Henrique e Juliano { DVD 2014}	5,597,861	52,481	78
Frank Ocean - Thinking Bout You (edit)	5,560,476	79,038	831
Forever (Drake)	4,460,806	51,617	546
Faded - Alan Walker (Acoustic)	7,021,421	72,871	688
Feel to Cry, Smile & touched - Mash UP Unplugged - SAURAV SHARMAA - 2017 Top Songs	3,981,034	64,819	268
Formation - Beyoncè ft. Glamour(Formation Cover) by DiggyBreezy	3,756,238	50,819	392
Footloose - Blake Shelton	3,899,299	30,970	708
Full Album NISSA SABYAN TERBARU (Versi Lengkap)	6,509,766	97,619	2,068
FBG DUCK RIGHT NOW	6,618,247	77,259	959
Frank Sinatra My Way	3,782,073	70,837	336
Falling	5,625,190	93,633	556
Fahad Khan - Indian Songs Mix # 2	1,434,593	26,293	331
Ferrugem - Ao Vivo - Radio Mania  COMPLETO	2,827,021	59,235	113
Flexin' trên Circle K | Low G (Prod. Jadu Jadu)	2,815,012	32,744	560
Florida - Whistle	2,829,510	27,183	233
Feel Tha Rush -Pleasure P-	1,582,420	21,933	201
Faded Panda (Laurenson Mix)	2,442,496	36,858	180
FREDO SANTANA - FUCK THE OTHERSIDE	3,528,818	51,500	715
Frank Ocean - At Your Best (党隔壁)	1,795,842	51,190	167
