tracks	play-repeated	heart	comment
Alan Walker - Darkside	6,322,600	98,086	3,079
Ayyan - Earthquake (Official Audio)	31,882,200	101,570	2,992
Aaj Jaane Ki Zid Na Karo | Naamkarann | Arijit Singh	4,395,612	107,097	540
ark patrol - let go (slowed + reverb) instrumental loop	9,815,292	115,093	5,753
Aye Mere Humsafar	4,622,690	99,121	453
Aerosmith - Crazy	4,427,504	46,018	411
Alan Walker - Alone (WildVibes Remix) *SUPPORTED BY TIËSTO & THE CHAINSMOKERS*	7,371,501	93,097	7,508
Alan Walker - The Spectre	6,035,272	78,559	2,778
Alkaline Ft Spice - Only Thing Mi Want (Raw - Single)	2,450,778	27,322	142
Akon - Lonely	2,798,274	52,665	541
Armada Band - Hargai Aku	4,093,143	44,494	409
aye khuda jab bna uska hi bna.........	2,352,806	49,251	275
Adera feat. Mytha Lestari - We Could be In Love (COVER)	1,509,019	18,078	1,261
Aankhon Mein Aansoo - Ek Haseena Thi Ek Dewaana Tha	2,436,421	53,824	178
Asma UL Husna 99 Names Of ALLAH... Recitation  Abdul Basit & Others	1,712,551	22,819	671
Azmi pernah	3,470,705	50,406	95
Alexandra Stan - Mr Saxobeat	2,378,270	33,024	123
Anderson Freire - Identidade	2,510,176	32,497	140
ATEEZ - WAVE	1,667,339	33,143	946
Anthony Robbins - Awaken The Giant Within	314,330	8,366	146
Adele - Hello  اغنية اديل الجديدة	2,791,218	79,447	566
Alan Walker Faded	2,472,249	38,859	995
Apologise ✪	2,618,251	32,836	64
Adam Calhoun - Die Tonight (feat. Upchurch)	2,157,726	25,991	850
Alexio La Bestia Ft. Arcangel, Farruko & Genio El Mutante - Cuidao Con Mi Mujer	3,245,933	32,984	70
Azonto Dance to Iyanya - Kukere! Azonto Fever - YouTube	2,138,858	25,521	483
Abba-Dancing Queen	1,731,135	24,024	505
ACDC & Bon Jovi & Metallica  & Guns N' Roses - She Shook Me All Night Long (Remix)	3,275,922	18,976	240
a-ha - Take On Me (Original Version)	4,869,663	57,167	932
Able To See Me (Tali Kouch Flip)	5,802,254	93,375	346
Amigo Taxista	4,664,479	76,174	99
Always	9,661,048	107,931	823
Aye Khuda Rocky HandSome	5,319,582	121,455	980
ACDC - TNT (Remix)	3,782,912	35,292	1,213
AVSTIN JAMES - Stay Out (J.Cole X 20syl)	5,241,481	80,954	180
Ayo Jay - Your Number Remix (feat. Chris Brown and Kid Ink)(Prod. By melvitto)	5,029,252	73,857	232
Awari - Ek Villan	4,606,636	105,652	682
Ari Lasso - Hampa	7,679,717	106,277	757
BROCCOLI feat. Lil Yachty (Prod By. J Gramm)	199,690,518	2,387,504	31,650
Black Coast - TRNDSTTR (Lucian Remix) [feat. M. Maggie]	55,047,774	745,942	9,078
BLACKPINK - Kill This Love	20,892,755	295,677	9,467
Betchua (Bitchuary)	63,775,136	687,101	13,633
BTS (방탄소년단) - Sea (바다) (Hidden Track From LOVE YOURSELF) Lyrics [Color Coded Eng]	22,258,438	390,859	11,716
Bob Marley - Buffalo Solider	20,861,988	286,865	2,820
BLACKPINK - Don't Know What To Do	8,932,129	121,356	2,614
Bankrol Hayden - Brothers (feat. Luh Kel)	44,523,084	434,614	15,218
BTS - DNA	13,474,861	220,390	5,172
BAD BUNNY - DIME SI TE ACUERDAS	25,745,424	294,612	828
BABY E. - FINESSIN	30,032,116	370,076	976
Bitch! (prod. Ugly God)	31,838,894	448,985	6,008
Best Remixes Of Popular Songs 2021 - Mash Up Bootleg Dance Mix 2021 - Top 100 Electro House Hits	13,446,066	257,287	5,553
Bruno Mars - Lighters	16,678,954	197,902	2,443
Bob Marley - Dont worry be happy (Mystery)	17,681,421	267,175	3,070
BEBE - Ozuna Ft Anuel AA	29,260,840	352,833	1,163
Baby Bash - Suga Suga	22,338,416	314,911	1,375
Busta Rhymes - I'll Hurt You (feat. Eminem)	19,785,739	253,627	2,969
BACK ON ROAD Ft. Drake	26,838,279	439,245	1,842
BLACKPINK - As If It's Your Last	14,468,627	198,927	4,706
Bailando Enrique Iglesias .Gente de Zona (merengue reggaeton remix) djchorlo	20,806,097	168,432	1,609
Beautiful	18,911,724	264,138	1,863
BOYFRIEND (RADIO EDIT)	429,498	2,542	152
Bob Marley - Jamming ++	14,620,452	195,276	1,727
BLUE	4,461,488	148,104	48,026
BTS - Go Go	9,673,511	164,574	2,630
Bruno Mars - Grenade	11,953,371	166,807	2,526
Bryson Tiller - Fuck That Nigga	16,222,090	245,502	468
Best of Atif Aslam Songs - Hindi Songs Collection Romantic - Atif Aslam New songs 2015	8,479,288	187,918	2,041
Bad Karma	15,303,254	272,778	3,307
Best Remixes Of Popular Songs 2021 💊 Mash Up Bootleg Dance Mix 💊 Melbourne Bounce Charts	9,613,942	220,628	9,185
Bahaa Sultan - Ana Mosamem | بهاء سلطان - أنا مصمم	25,351,668	786,842	5,659
Balti Ya Lili Feat Hamouda بلطي وحمودة يا ليلي ويا ليلا 2018	21,220,943	437,496	3,885
BTS - MIC Drop	8,915,718	157,078	3,307
Berner - 20 Joints (Prod by TraxxFDR)	20,678,024	278,876	1,457
Bryson Tiller- I Love Beyonce Too	15,979,808	236,620	726
Beyonce - You Are My Rock.mp3	9,326,709	141,386	627
BTS (防弾少年団) - Don't Leave Me	4,089,502	71,629	973
Berdua Saja	6,864,349	77,147	847
Bonez MC & Raf Camora - Ohne mein Team (feat. Maxwell)	5,735,280	57,029	243
Banda Ms-Hermosa Experiencia [Single 2013] <3	9,774,766	54,459	479
BLACKPINK - STAY	4,151,371	66,288	1,122
BTS Im fine	3,999,006	69,564	1,309
Banda Trakalosa De Monterrey - Borracho De Amor	9,360,964	47,107	341
BIG BANG - Let's Not Fall in Love (우리 사랑하지 말아요)	4,760,698	54,101	332
Baedna Leh -  محمد حماقي بعدنا ليه	8,787,810	275,002	1,580
BLACK PINK ( 블랙핑크 ) - BOOMBAYAH	6,542,988	83,379	2,495
BAD BUNNY - NI BIEN NI MAL	8,625,376	107,176	1,010
Bonita - J Balvin Ft Jowell y Randy	6,035,305	72,564	477
Burna Boy – On The Low	5,576,394	81,606	730
Bounce- Jacquees	5,577,804	75,298	111
Backseat Summer	4,062,938	81,841	143
Bruna Karla - Que bom você chegou	3,687,594	52,201	305
Brand New Swag	1,981,079	39,412	678
BCL - Kecewa	4,247,107	52,860	272
Bob Marley - Forever Loving Jah	2,357,312	35,522	236
Bobby Shurmda bobby bitch	3,185,204	33,680	317
Beyonce resentment live	2,446,881	33,836	109
BTS - Boy in Luv Original ver. (Original title: REALMAN)	1,724,537	26,396	577
Bust It Open	2,966,589	49,054	558
BTS V & Jin- 'Even If I Die, It's You' (죽어도 너야) OTS Hwarang	1,471,820	32,642	528
Bugzy Malone - Hulk Smash #WalkWithMe	2,777,207	31,621	184
Chris Brown - Back To Sleep (Royalty)	33,090,038	486,059	3,149
Closer - Chainsmokers ft. Halsey | Fly By Midnight ft. Jax Cover	37,053,231	530,701	5,679
Clean Bandit - Rockabye Ft. Sean Paul & Anne - Marie  ( Dj.IsI Rework )	38,101,867	615,947	5,029
Cheb Khaled- C'est La Vie الشاب خالد - سي لا في	21,115,651	496,254	3,885
Coldplay ft. Beyoncé - Hymn For The Weekend (Ash Remix)	30,246,398	382,364	4,305
Check -Young Thug	28,264,371	369,007	913
Crossfire	26,119,558	414,333	5,398
Chief Keef - Hate Being Sober - 50 Cent & Wiz Khalifa (Dotcom's Festival Trap Remix)	29,060,227	357,510	4,581
Control- Big Sean ft Kendrick Lamar & Jay Electronica	29,054,665	411,129	4,108
Coldplay - Viva la vida	13,963,594	190,998	3,039
comethru	20,969,626	311,429	3,915
Christina Perri - Human [ Clear Version ]	16,567,354	213,240	3,754
Changes (Léon - Tired Of Talking Remix)	19,626,352	318,076	3,317
Crazy In Love (Fifty Shades Of Grey) - Sofia Karlberg (Beyoncé Cover)	17,100,781	207,448	864
Crazy Story	26,734,871	359,338	20,058
Calvin Cambridge	27,743,456	307,625	2,778
Childish Gambino - Pound Cake Freestyle	20,532,824	329,247	2,682
Chucky Cheese [PROD BY K SWISHA]	31,412,348	346,298	5,633
CHAPELEIRO - do Minimal ao Techno (SET) FREE DOWNLOAD	10,242,956	235,179	5,817
Chief Keef - Semi On Em feat. Gucci Mane	18,704,848	269,632	980
Change Ya Life	20,059,491	257,026	5,089
Centuries	13,628,409	172,167	5,501
Crazy Story, Pt. 3	22,942,002	316,912	13,848
Calvin Harris - My Way (STVCKS Remix)	11,584,055	187,042	1,919
Can Demir Feat. Super Sako & Spitakci Hayko - Mi Gna (Remix)	21,340,083	411,080	2,231
Clint Eastwood	13,385,525	214,177	3,059
Céu Azul - Charlie Brown Jr.	13,067,582	203,023	1,355
Cant Take My Eyes Off Of You - Joseph Vincent Cover	15,757,640	206,810	989
Crisis PROD. JA$IAH	18,801,233	268,366	8,411
Ca$h Out ft. Juicy J, Lil Boosie, Ty Dolla $ign, Kid Ink - She Twerkin (Remix)	11,378,771	154,213	786
Ｃａｌｌ ｍｅ	13,390,143	212,815	6,671
Can't Help Falling In Love (Cover) by twenty | one | pilots	10,696,080	153,095	1,565
Calvin Harris - Outside Ft. Ellie Goulding (Savagez Trap Remix)	13,071,197	157,476	2,861
Calum Scott - You Are The Reason - Live Performance!	15,112,755	238,426	2,388
Ca$h Out - "She Twerkin" (Produced by Spinz & Dun Deal)	11,794,862	167,719	1,577
CARDI B FT BAD BUNNY FT J BALVIN - I LIKE IT	14,014,392	197,510	1,395
Close Friends Remake	12,486,511	191,920	1,836
Cant Forgive 용서 못해 (Ballad)	9,341,185	147,879	2,455
chinese new year	12,685,524	201,710	3,898
Charlie Puth - We Don't Talk Anymore Ft. Selena Gomez (Heyder Remix) [Official Remix]	11,716,416	170,030	6,281
Chivalry Is Dead	9,582,992	129,205	950
Clean Bandit - Rockabye Ft. Sean Paul & Anne - Marie (SHAKED Trap Remix) [*FREE*]	14,264,032	222,410	15,878
Conor Maynard - I Hate you , I Love you (Cover)	12,223,194	235,739	1,584
CNCO - Reggaeton Lento (Dj Nev Edit) ʙᴜʏ = ғʀᴇᴇ ᴅᴏᴡɴʟᴏᴀᴅ	10,385,193	111,316	4,715
Current Joys - New Flesh	10,668,510	155,371	3,956
Chain Hang Low (Crizzly & AFK Remix)	9,259,442	150,207	2,399
Cali Swag District - Teach Me How To Dougie	8,763,077	117,974	1,807
Cartoons and Cereal - Kendrick Lamar	11,943,512	221,012	1,140
Costa Gold - N.A.D.A.B.O.M. [parte 2] (ft Don L & Luccas Carlos) [prod. Lotto]	10,487,614	132,466	465
Cartoon - On  and On  Ft. Daniel Levi	10,348,400	141,256	1,391
Charlie Puth - Attention (Joey Stux Remix ft. Johnny Rez)	11,809,799	160,505	2,317
Come Thru by Jacquees	8,538,165	133,191	978
Champagne And Pools (feat. Blackbear & KYLE)	10,638,050	175,867	919
Costa Rica ft. Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy, and Ski Mask	16,813,441	211,157	4,502
Coca Cola Tu - Tony Kakkar ft. Young Desi |New song 2018| S@JEEL JUTT	7,285,217	174,459	1,340
Chris-Brown-Marvins-Room-Remix	8,408,759	123,265	490
Cuban Doll - Bankrupt	11,473,626	164,746	672
Chief Keef - Save That Shit	13,500,211	163,602	1,161
Choppa [Prod.Kidkeva]	19,191,696	211,122	2,389
Car Music Mix 2021 | Bass Boosted Best Trap Mix | Electro & House Bass Boost Music	7,478,545	134,435	3,804
Chemistry (ft. blackbear)	9,776,127	167,366	683
Chief Keef - That's It	9,416,583	117,515	1,470
Camila Cabello - Never Be The Same	9,353,072	119,566	997
CARDI B -BODAK YELLOW (NOVA)	8,705,639	111,849	838
Calvin Harris How Deep Is Your Love (ft. Disciples)	10,277,308	103,263	372
Cash Machine (Prod. By Ricky Reed)	3,388,117	128	Comments
Chris Brown feat. Gunna - Heat	10,491,291	155,340	1,455
Columbia remix feat. Rick Ross, Birdman and Gucci Mane	10,310,467	115,238	1,060
Camelphat & Elderbrook ‘Cola’	7,555,410	142,002	701
Come Through (feat. Lil Tecca)	594,954	11,455	365
cavetown // devil town	6,789,122	111,830	4,920
CoCo ( Video On DomTMO.com )	7,661,140	100,965	681
Cool N Beautiful (Lupe Fiasco vs. Mike Posner vs. Katy Perry vs. Sean Kingston)	4,246,583	90,690	208
Cake (prod. Moshuun)	15,656,794	178,240	2,452
Costa Gold - Quem Tava Lá? Com: Marechal e Luccas Carlos (Prod. Lotto) [OFFICIAL]	4,691,206	71,762	359
Come And See Me	3,336,756	55,692	290
Cristiano Araujo - Mente Pra Mim.	4,568,667	32,943	328
Cuida Bem Dela - Henrique e Juliano	3,901,295	31,422	288
Calvin Harris - Bounce (DEVI Deep House Remix)	3,122,569	56,282	508
Cacife clandestino - beija flor	3,558,133	50,009	345
Chris Brown, Tyga, Birdman  Lil Wayne   Bigger Than Life (Rich Gang)	3,834,548	38,978	249
Celine Dion - Beauty and The Beast	3,113,895	37,373	230
Charly Black - Bike Back ■ Equiknoxx Music ■ Dancehall 2014	3,557,375	49,745	278
Cakra Khan - Kekasih Bayangan Cover by StepWie	8,179,115	91,102	1,220
Cat Stevens - Father and Son Original	2,066,051	29,036	531
Chief Keef- Glory Bridge (feat. A Boogie Wit Da Hoodie)	6,164,548	84,238	211
Chalino Sanchez _ Pura Pistiadera Mix	4,402,121	36,009	540
Canserbero - Es Epico	4,506,738	79,538	970
Chance The Rapper: Brain Cells	4,711,525	55,775	435
Cigarette Smoke	3,504,575	38,017	142
Chris Brown - Lights Out	3,406,100	40,134	93
Chand Chupa Badal Mein - Udit Narayan/Alka Yagnik - Romantic Song	2,031,582	44,719	215
Crime Stoppers - Young Thug & Migos ft. Skippa Da Flippa	4,477,049	67,193	224
Cassiane - Com Muito Louvor	1,855,296	44,308	309
